method,score
EFV31_EUTROPHICATION_FRESHWATER,2.80
EFV31_CLIMATE_CHANGE,21.06
EFV31_PARTICULATE_MATTER_FORMATION,8.96
EFV31_ACIDIFICATION,6.20
EFV31_ECOTOXICITY_FRESHWATER,1.92
EFV31_IONISING_RADIATION,5.01
EFV31_PHOTOCHEMICAL_OZONE_FORMATION,4.78
EFV31_EUTROPHICATION_MARINE,2.96
EFV31_EUTROPHICATION_TERRESTRIAL,3.71
EFV31_ENERGY_RESOURCES,8.32
EFV31_HUMAN_TOXICITY_NON_CARCINOGENIC,1.84
EFV31_OZONE_DEPLETION,6.31
EFV31_HUMAN_TOXICITY_CARCINOGENIC,2.13
EFV31_MATERIAL_RESOURCES,7.55
EFV31_WATER_USE,8.51
EFV31_LAND_USE,7.94
